iter	Passed	Remaining
0	142	142148
1	144	71911
2	146	48692
3	148	36908
4	150	29854
5	151	25173
6	153	21783
7	155	19230
8	156	17234
9	157	15625
10	159	14305
11	160	13230
12	161	12283
13	162	11470
14	163	10760
15	164	10137
16	165	9575
17	166	9076
18	167	8634
19	168	8234
20	168	7870
21	169	7537
22	170	7237
23	171	6960
24	171	6707
25	172	6474
26	173	6254
27	174	6052
28	175	5883
29	176	5718
30	177	5554
31	178	5399
32	179	5255
33	180	5118
34	180	4989
35	182	4874
36	183	4765
37	183	4656
38	184	4553
39	185	4456
40	186	4363
41	187	4273
42	188	4188
43	189	4107
44	190	4034
45	191	3972
46	192	3901
47	193	3832
48	194	3766
49	194	3702
50	195	3640
51	196	3582
52	197	3525
53	198	3470
54	198	3418
55	199	3367
56	200	3318
57	201	3272
58	202	3225
59	203	3180
60	203	3137
61	204	3095
62	206	3067
63	207	3029
64	207	2991
65	208	2954
66	209	2918
67	210	2882
68	211	2850
69	212	2819
70	213	2787
71	213	2756
72	214	2725
73	215	2695
74	216	2666
75	217	2638
76	217	2611
77	218	2584
78	219	2558
79	220	2539
80	221	2516
81	222	2495
82	223	2468
83	224	2445
84	225	2423
85	225	2401
86	226	2379
87	227	2358
88	228	2337
89	229	2317
90	230	2298
91	230	2278
92	231	2259
93	232	2241
94	233	2223
95	234	2206
96	235	2194
97	236	2179
98	237	2162
99	238	2145
100	239	2130
101	240	2114
102	241	2100
103	242	2085
104	242	2069
105	243	2054
106	244	2039
107	245	2024
108	245	2010
109	246	1996
110	247	1982
111	248	1969
112	249	1955
113	250	1944
114	251	1936
115	252	1924
116	253	1910
117	254	1899
118	254	1887
119	255	1875
120	256	1864
121	257	1851
122	258	1840
123	258	1829
124	259	1818
125	260	1807
126	261	1795
127	262	1785
128	262	1775
129	263	1765
130	264	1755
131	265	1748
132	267	1741
133	268	1732
134	268	1722
135	269	1713
136	270	1703
137	271	1694
138	272	1685
139	273	1677
140	273	1669
141	274	1658
142	275	1649
143	276	1641
144	276	1633
145	277	1624
146	278	1616
147	279	1608
148	280	1600
149	282	1599
150	283	1592
151	284	1585
152	284	1577
153	285	1569
154	286	1562
155	287	1555
156	288	1548
157	289	1540
158	289	1533
159	290	1526
160	291	1517
161	292	1511
162	292	1504
163	293	1497
164	294	1491
165	296	1489
166	297	1483
167	298	1476
168	298	1470
169	299	1463
170	300	1457
171	301	1450
172	302	1444
173	303	1438
174	303	1432
175	304	1426
176	305	1420
177	306	1414
178	308	1415
179	309	1410
180	310	1405
181	311	1401
182	312	1396
183	313	1390
184	314	1385
185	315	1379
186	316	1373
187	316	1368
188	317	1362
189	318	1357
190	319	1352
191	320	1347
192	320	1342
193	321	1336
194	323	1334
195	324	1330
196	325	1325
197	326	1320
198	326	1315
199	327	1310
200	328	1305
201	329	1300
202	330	1295
203	330	1290
204	331	1285
205	332	1280
206	333	1276
207	333	1271
208	334	1267
209	335	1262
210	336	1258
211	337	1253
212	338	1251
213	339	1247
214	340	1243
215	341	1239
216	342	1234
217	342	1230
218	343	1225
219	344	1221
220	345	1217
221	346	1212
222	346	1208
223	347	1204
224	348	1200
225	349	1196
226	350	1192
227	351	1188
228	351	1184
229	353	1183
230	354	1180
231	355	1176
232	356	1172
233	356	1168
234	357	1164
235	358	1160
236	359	1156
237	360	1153
238	360	1149
239	361	1145
240	362	1141
241	363	1138
242	364	1134
243	365	1131
244	366	1128
245	366	1124
246	368	1122
247	369	1120
248	370	1116
249	370	1112
250	371	1109
251	372	1105
252	373	1102
253	374	1098
254	374	1095
255	375	1091
256	376	1088
257	377	1085
258	378	1081
259	379	1078
260	379	1075
261	380	1072
262	381	1069
263	382	1066
264	383	1064
265	384	1061
266	385	1058
267	386	1055
268	387	1052
269	388	1049
270	388	1046
271	389	1042
272	390	1039
273	391	1036
274	392	1033
275	393	1031
276	394	1029
277	395	1026
278	395	1023
279	396	1020
280	397	1017
281	399	1016
282	400	1013
283	400	1010
284	401	1007
285	402	1004
286	403	1001
287	404	999
288	404	996
289	405	993
290	406	990
291	407	987
292	408	985
293	409	982
294	409	979
295	410	977
296	411	974
297	412	972
298	414	971
299	415	969
300	416	966
301	417	963
302	417	961
303	418	958
304	419	955
305	420	953
306	421	950
307	422	948
308	423	946
309	424	945
310	425	942
311	426	940
312	427	937
313	428	935
314	429	934
315	430	931
316	431	929
317	432	926
318	432	924
319	433	921
320	434	919
321	435	916
322	436	913
323	437	912
324	438	910
325	439	908
326	440	906
327	441	903
328	442	901
329	442	899
330	444	898
331	445	896
332	446	893
333	446	891
334	447	888
335	448	886
336	449	884
337	450	881
338	450	879
339	451	877
340	453	875
341	454	874
342	455	871
343	455	869
344	456	867
345	457	864
346	458	863
347	459	861
348	460	859
349	461	857
350	462	854
351	463	852
352	463	850
353	464	847
354	465	845
355	466	843
356	467	841
357	468	839
358	469	837
359	470	835
360	471	833
361	472	832
362	473	830
363	474	829
364	475	827
365	476	825
366	477	823
367	478	821
368	479	819
369	479	817
370	480	815
371	481	813
372	482	810
373	483	808
374	484	806
375	484	804
376	485	802
377	486	800
378	487	798
379	488	797
380	489	795
381	490	793
382	491	791
383	492	789
384	493	787
385	494	785
386	494	784
387	495	782
388	496	780
389	497	778
390	498	776
391	499	774
392	500	772
393	501	770
394	502	768
395	502	766
396	504	766
397	505	764
398	506	762
399	507	760
400	507	758
401	508	756
402	509	754
403	510	752
404	511	750
405	511	748
406	512	746
407	513	744
408	514	743
409	514	741
410	515	739
411	516	737
412	517	735
413	518	734
414	520	733
415	520	731
416	521	729
417	522	727
418	523	726
419	524	724
420	525	723
421	526	721
422	527	720
423	528	718
424	530	717
425	531	715
426	531	713
427	532	712
428	534	711
429	535	709
430	536	707
431	537	706
432	537	704
433	538	702
434	539	700
435	540	699
436	541	697
437	542	696
438	543	694
439	544	692
440	544	690
441	545	689
442	546	687
443	547	686
444	549	684
445	550	683
446	551	682
447	552	680
448	553	679
449	554	677
450	555	675
451	556	674
452	556	672
453	557	670
454	558	669
455	559	667
456	560	666
457	561	664
458	562	662
459	563	661
460	564	659
461	565	659
462	566	657
463	567	655
464	568	654
465	569	652
466	570	651
467	571	649
468	571	647
469	572	645
470	573	644
471	574	642
472	575	641
473	576	639
474	576	637
475	577	636
476	578	634
477	580	633
478	581	632
479	582	630
480	583	629
481	584	627
482	584	626
483	585	624
484	586	622
485	587	621
486	588	619
487	588	617
488	589	616
489	590	614
490	591	613
491	592	611
492	593	609
493	594	608
494	595	607
495	596	606
496	597	604
497	598	603
498	599	601
499	599	599
500	600	598
